,index,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
120,720,DAYTDRUGO,04/29/2016 12:00:00 AM,MAPO GALMAEGI BBQ,92,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000854,3460 W 8TH ST,LOS ANGELES,FA0179332,CA,90005-2518,OW0184902,DIDIM FOOD USA INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,MAPO GALMAEGI BBQ,ACTIVE,PR0172925,"['Korean', 'Barbeque']",False,34.057544,-118.305579846558,$$,4.5,673,NrzSO_pQ88A3jSMqh_QuNg
121,1474,DAGAYCVR2,04/19/2016 12:00:00 AM,MAPO GALMAEGI BBQ,80,B,1,ROUTINE INSPECTION,EE0000854,3460 W 8TH ST,LOS ANGELES,FA0179332,CA,90005-2518,OW0184902,DIDIM FOOD USA INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,MAPO GALMAEGI BBQ,ACTIVE,PR0172925,"['Korean', 'Barbeque']",False,34.057544,-118.305579846558,$$,4.5,673,NrzSO_pQ88A3jSMqh_QuNg
122,721,DAC7WH1UK,04/29/2016 12:00:00 AM,CAFE 9,97,A,1,ROUTINE INSPECTION,EE0000660,453 S SPRING ST STE 900,LOS ANGELES,FA0142274,CA,90013-2013,OW0105446,"LO, CALVIN",RESTAURANT (0-30) SEATS HIGH RISK,1632,CAFE 9,ACTIVE,PR0128714,"['Breakfast & Brunch', 'Sandwiches']",False,34.0477867126465,-118.24974822998,$,4.0,92,nD2MxxcUgoT0PvJEilXtsw
123,722,DAUSMRX0U,04/29/2016 12:00:00 AM,MEL'S COFFEE SHOP,96,A,1,ROUTINE INSPECTION,EE0000721,1300 OLYMPIC BLVD 102-A,LOS ANGELES,FA0167108,CA,90015,OW0130183,HERON ZARATE,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MEL'S COFFEE SHOP,INACTIVE,PR0157450,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",False,34.0472037930758,-118.270487640475,$$,3.0,1,8UWx-BOE6u4bzjuUWZFxnw
124,724,DA8YFLJ5K,04/29/2016 12:00:00 AM,THE FLAME BROILER,92,A,1,ROUTINE INSPECTION,EE0000594,2526 S FIGUEROA ST,LOS ANGELES,FA0072263,CA,90007,OW0035827,THFB INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,THE FLAME BROILER,ACTIVE,PR0041667,"['Asian Fusion', 'Fast Food']",False,34.0283585,-118.2755585,$,3.5,87,gCGZtjJoCjis143hl5V48A
125,725,DAMVSNIAH,04/29/2016 12:00:00 AM,PLAZA SALOON,95,A,1,ROUTINE INSPECTION,EE0000951,739 N LA BREA AVE,LOS ANGELES,FA0002263,CA,90046,OW0028718,MEL-BREA INC.,RESTAURANT (31-60) SEATS LOW RISK,1633,PLAZA SALOON,ACTIVE,PR0025155,"['Gay Bars', 'Dance Clubs']",False,34.0845741,-118.3438683,$,4.0,35,XAfufp062GrYgG7Mwq1Naw
126,726,DATEPSKOI,04/29/2016 12:00:00 AM,PHO 87 VIETNAMESE RESTAURANT,87,B,1,ROUTINE INSPECTION,EE0000740,1019 N BROADWAY,LOS ANGELES,FA0180809,CA,90012,OW0186153,PHO TIEN INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,PHO 87 VIETNAMESE RESTAURANT,ACTIVE,PR0174628,"['Vietnamese', 'Noodles', 'Chinese']",False,34.0672573,-118.2356333,$,4.0,1228,EiGZST3PxwKs94PTOsD4eQ
127,727,DAOATRNWZ,04/29/2016 12:00:00 AM,UN SOLO SOL KITCHEN,90,A,1,ROUTINE INSPECTION,EE0000740,1818 E 1ST ST,LOS ANGELES,FA0038931,CA,90033,OW0036854,UN SOLO SOL FOOD SERVICE,RESTAURANT (0-30) SEATS HIGH RISK,1632,UN SOLO SOL KITCHEN,ACTIVE,PR0047289,"['Latin American', 'Vegetarian', 'Vegan']",False,34.047022,-118.21915,$$,4.5,504,mBD3hhlyqc2A301Y1CVwUg
128,729,DAY1IC1IB,04/29/2016 12:00:00 AM,TEPECHI RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000557,3702 MEDFORD ST,LOS ANGELES,FA0173779,CA,90063,OW0180540,RODOLFO GUTIERREZ CASTRELLON,RESTAURANT (31-60) SEATS HIGH RISK,1635,TEPECHI RESTAURANT,INACTIVE,PR0166572,['Mexican'],True,34.0596396557344,-118.185851626983,blank,4.0,1,LlANYwZARbgz5On_fCUOiw
129,730,DA5IUJGU0,04/29/2016 12:00:00 AM,BLAZE PIZZA,97,A,1,ROUTINE INSPECTION,EE0000594,3335 S FIGUEROA ST,LOS ANGELES,FA0167118,CA,90007,OW0130192,GATEWAY USC LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,BLAZE PIZZA,ACTIVE,PR0157468,"['Salad', 'Pizza', 'Fast Food']",False,34.0231904567859,-118.279516334918,$,4.0,313,fmf9Gz1afO8X0aohHsyWZA
130,732,DAA5F0BEE,04/29/2016 12:00:00 AM,SUBWAY,98,A,1,ROUTINE INSPECTION,EE0000727,11762 SAN VICENTE BLVD,LOS ANGELES,FA0049790,CA,90049,OW0005218,BRENTWOOD SUBWAY INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY,INACTIVE,PR0034888,"['Fast Food', 'Sandwiches']",True,34.0529631,-118.4677637,$,3.5,16,K0gSQX42mFW-kTU3wnvOdA
131,733,DAQPFJE2O,04/28/2016 12:00:00 AM,LACMA MAIN KITCHEN,97,A,1,ROUTINE INSPECTION,EE0000853,5905 WILSHIRE BLVD,LOS ANGELES,FA0021199,CA,90036,OW0035686,THE PATINA GROUP NEWCO LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,LACMA MAIN KITCHEN,ACTIVE,PR0016636,"['Museums', 'Art Galleries']",False,34.06372,-118.35689,blank,3.0,1,1BR_qljSOrBckwtraDKk-w
132,826,DAC0PEZ30,04/28/2016 12:00:00 AM,RAY'S AT LACMA,98,A,1,ROUTINE INSPECTION,EE0000853,5905 WILSHIRE BLVD,LOS ANGELES,FA0069377,CA,90036,OW0029348,"PATINA RESTAURANT GROUP, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,RAY'S,ACTIVE,PR0020060,"['Museums', 'Art Galleries']",False,34.06372,-118.35689,blank,3.0,1,1BR_qljSOrBckwtraDKk-w
133,734,DA5DHDJCA,04/28/2016 12:00:00 AM,YUKINOHANA JAPANESE RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000531,3100 W 8TH ST UNIT 103,LOS ANGELES,FA0138979,CA,90005,OW0102255,JI SUNG KIM,RESTAURANT (31-60) SEATS HIGH RISK,1635,YUKINOHANA JAPANESE RESTAURANT,INACTIVE,PR0123357,['Korean'],True,34.057573,-118.294498,$$,4.5,213,Mc9xMwSGokORq4hFCWuU0w
134,735,DACV4UIOT,04/28/2016 12:00:00 AM,SOUTHERN CALIFORNIA PIZZA CO LLC,97,A,1,ROUTINE INSPECTION,EE0001021,11710 S WILMINGTON AVE,LOS ANGELES,FA0028647,CA,90059,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA HUT,ACTIVE,PR0042685,"['Pizza', 'Italian', 'Chicken Wings']",False,33.9271049499512,-118.238258361816,$,1.5,22,ZdVv4a4R1y5021MiPwrYLA
135,737,DAVH2SI6G,04/28/2016 12:00:00 AM,CROWN PLAZA LAX YOKOSO,96,A,1,ROUTINE INSPECTION,EE0000733,5985 CENTURY BLVD,LOS ANGELES,FA0156807,CA,90045,OW0122046,IHG MANAGEMENT MARYLAND LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,CROWNE PLAZA LAX YOKOSO,ACTIVE,PR0144476,['Hotels'],False,33.9461335790885,-118.388955756237,$$,3.0,320,AZg1sYbxb6WLvxZv5-VZpA
136,739,DAXB23E9M,04/28/2016 12:00:00 AM,DENNY'S #149,96,A,1,ROUTINE INSPECTION,EE0000699,635 W VERMONT AVE,LOS ANGELES,FA0018491,CA,90020,OW0009769,DENNY'S INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,DENNY'S #149,ACTIVE,PR0045237,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']",False,34.0627768247459,-118.291920572519,$,2.0,179,8Xj49jdp9CLlvs-w56dxWw
137,740,DA4B03W2H,04/28/2016 12:00:00 AM,THE FOUNDATION CENTER,98,A,1,ROUTINE INSPECTION,EE0000224,11633 S WESTERN AVE,LOS ANGELES,FA0165629,CA,90047,OW0128872,"NOAH'S DWELLING, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,THE FOUNDATION CENTER,ACTIVE,PR0153961,['Venues & Event Spaces'],False,33.9275853722486,-118.309407983852,blank,4.0,5,57mFlXN2MHOo2rADYUdfMQ
138,741,DAVA84AOL,04/28/2016 12:00:00 AM,SHUNJI,90,A,1,ROUTINE INSPECTION,EE0000629,12244 W PICO BLVD,LOS ANGELES,FA0033067,CA,90064,OW0038268,W&S LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,SHUNJI,ACTIVE,PR0035003,"['Japanese', 'Sushi Bars']",False,34.02836,-118.45161,$$$$,4.0,292,OpHC3mrACr17p4IfyDVAyw
139,743,DAVXRRWKE,04/28/2016 12:00:00 AM,LACMA PLAZA,99,A,1,ROUTINE INSPECTION,EE0000853,5905 W WILSHIRE BLVD,LOS ANGELES,FA0033980,CA,90036,OW0035686,THE PATINA GROUP NEWCO LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,LACMA PLAZA,ACTIVE,PR0041671,['American (Traditional)'],False,34.0631405203981,-118.357282520624,$$,2.5,101,bD8gJelUmmeE7TJWjlZeHw
140,746,DAQXYH0QU,04/28/2016 12:00:00 AM,RODEO MEXICAN GRILL #2,97,A,1,ROUTINE INSPECTION,EE0000721,1721 W OLYMPIC BLVD,LOS ANGELES,FA0046753,CA,90015,OW0014810,HAPPY RODEO INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,RODEO MEXICAN GRILL #2,ACTIVE,PR0047247,['Mexican'],False,34.0502011713576,-118.276079158742,$$,3.5,260,dTs9nZSt2ht9-5T9yeIoiA
141,747,DAUKLE72D,04/28/2016 12:00:00 AM,CAFE LATTE,90,A,1,ROUTINE INSPECTION,EE0000884,3130 W OLYMPIC BLVD #100,LOS ANGELES,FA0164785,CA,90006,OW0128100,SJL HOLDINGS INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,CAFE LATTE,ACTIVE,PR0153073,['Coffee & Tea'],False,34.0523911,-118.3038483,$,3.5,40,1eBopkf2zYF3BWi2SWattQ
142,748,DAERCP6CI,04/28/2016 12:00:00 AM,GOOD MICROBREW & GRILL,94,A,1,ROUTINE INSPECTION,EE0000904,3725 W SUNSET BLVD,LOS ANGELES,FA0062882,CA,90026,OW0009348,DAJOVAN INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,GOOD MICROBREW & GRILL,INACTIVE,PR0007953,['American (New)'],True,34.0908543,-118.2783261,$$,3.0,782,6pFcDFLqr08uGVQ-Gj8IbQ
