,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
224,DA9NP7AGG,02/01/2018 12:00:00 AM,A-FRAME,90,A,1,ROUTINE INSPECTION,EE0000953,12565 W WASHINGTON BLVD,LOS ANGELES,FA0005397,CA,90066,OW0001769,"A-FRAME, LP",RESTAURANT (61-150) SEATS HIGH RISK,1638,A-FRAME,ACTIVE,PR0027881,"['Asian Fusion', 'Breakfast & Brunch', 'Hawaiian']",False,33.997107173443,-118.43228454059,$$,3.5,1847,_DvLBgqSrAPi74NNGN0-tw
225,DA64XKKRM,02/01/2018 12:00:00 AM,WHITE HOUSE PIZZA CAFE INC,94,A,1,ROUTINE INSPECTION,EE0000822,6541 HOLLYWOOD BLVD STE 101,LOS ANGELES,FA0174539,CA,90028,OW0181187,WHITE HOUSE PIZZA CAFE INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WHITE HOUSE PIZZA CAFE INC,INACTIVE,PR0167553,"['Cafes', 'Pizza', 'Breakfast & Brunch']",True,34.1017434624394,-118.332447475947,$,4.0,144,KCW-wFZA0FkgQxOjwAmtOA
226,DAYFLLAZN,02/01/2018 12:00:00 AM,JIN JU CO,92,A,1,ROUTINE INSPECTION,EE0000366,807 E 12TH ST # 239,LOS ANGELES,FA0255994,CA,90021-2180,OW0248799,JIN JU CORPORATION,RESTAURANT (0-30) SEATS HIGH RISK,1632,JIN JU CO,ACTIVE,PR0205732,['Korean'],False,34.0325203,-118.2502206,blank,2.5,2,HImS_FPN6l22j1Vg7imYLQ
227,DAPVPQL1J,02/01/2018 12:00:00 AM,STARBUCKS COFFEE #5626,92,A,1,ROUTINE INSPECTION,EE0000059,8783 W PICO BLVD,LOS ANGELES,FA0048682,CA,90035,OW0033938,STARBUCKS COFFEE CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCKS COFFEE CO #5626,ACTIVE,PR0013612,['Coffee & Tea'],False,34.054931,-118.383542,$,3.5,98,-POLMllppphtJUy4BaKOWw
228,DATMUW3OB,02/01/2018 12:00:00 AM,EL MIGUELENO,95,A,1,ROUTINE INSPECTION,EE0000800,2301 S VERMONT AVE,LOS ANGELES,FA0061470,CA,90007,OW0010856,EL MIGUELENO RESTAURANT INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,EL MIGUELENO,ACTIVE,PR0026555,['Salvadoran'],False,34.03491,-118.29189,$,4.0,33,e2PffEXtf9sjbfeIja9rqg
229,DA70OLW7V,02/01/2018 12:00:00 AM,TOM BERGIN'S,93,A,1,ROUTINE INSPECTION,EE0000853,840 S FAIRFAX AVE,LOS ANGELES,FA0160420,CA,90036,OW0125383,BERGIN'S PUBLIC HOUSE LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,TOM BERGIN'S,ACTIVE,PR0148511,"['Sports Bars', 'Irish Pub', 'American (Traditional)']",True,34.06007,-118.3625,$$,4.0,507,PjScb-Rj3wFcOEaFNRKxdA
230,DAOFLFRNM,02/01/2018 12:00:00 AM,EVO KITCHEN,90,A,1,ROUTINE INSPECTION,EE0000838,7950 W SUNSET BLVD STE 104,LOS ANGELES,FA0022433,CA,90046,OW0018637,KCM CAPITAL LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,EVO KITCHEN,ACTIVE,PR0039131,"['Gluten-Free', 'Pizza', 'Vegan']",False,34.097541809082,-118.363555908203,$$,4.0,475,8JaphWKDSJLYYNe11KaRIw
231,DATCEM29V,02/01/2018 12:00:00 AM,VIBIANA,97,A,1,ROUTINE INSPECTION,EE0001058,210 S MAIN ST,LOS ANGELES,FA0073401,CA,90012,OW0026671,OLD CHURCH LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,VIBIANA,ACTIVE,PR0023365,['Venues & Event Spaces'],False,34.0504341125488,-118.244422912598,blank,4.5,122,iKpzQ0vyCwLUtfB0w5mAuw
232,DA7NDMMC7,02/01/2018 12:00:00 AM,DOLLAR HITS TEMPLE,92,A,1,ROUTINE INSPECTION,EE0001006,2432 W TEMPLE ST,LOS ANGELES,FA0255958,CA,90026,OW0248776,ELVIRA FRANCO CHAN,RESTAURANT (0-30) SEATS HIGH RISK,1632,DOLLAR HITS TEMPLE,ACTIVE,PR0205695,"['Street Vendors', 'Filipino']",False,34.07145,-118.27267,$,4.0,185,pxg3VJKR9sA7cJqgXFTrSw
233,DAICAJ0SI,02/01/2018 12:00:00 AM,THE COMEDY UNION,92,A,1,ROUTINE INSPECTION,EE0000871,5040 W PICO BLVD,LOS ANGELES,FA0051778,CA,90019,OW0026719,"OLIVER ROSEN, LLC",RESTAURANT (0-30) SEATS LOW RISK,1630,THE COMEDY UNION,ACTIVE,PR0021908,['Comedy Clubs'],False,34.04754,-118.3476,$$,4.5,167,IR2A7UXWjHJ1ndC6qyPOag
