,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
286,DAJBXBQPY,01/05/2016 12:00:00 AM,OAXACA CAFE ANTOJITOS AND JUICE,94,A,1,ROUTINE INSPECTION,EE0000725,1211 E CENTURY BLVD,LOS ANGELES,FA0160723,CA,90002,OW0125671,ARMANDO LOPEZ,RESTAURANT (0-30) SEATS MODERATE RISK,1631,OAXACA CAFE ANTOJITOS AND JUICE,ACTIVE,PR0148807,"['Coffee & Tea', 'Juice Bars & Smoothies', 'Desserts']",False,33.9457849,-118.2537301,$,4.5,54,fuAL8-5XTZVao9KZyVa84w
287,DAOJJEL40,01/05/2016 12:00:00 AM,HEADLINES,83,B,1,ROUTINE INSPECTION,EE0000911,10922 KINROSS AVE,LOS ANGELES,FA0063132,CA,90024,OW0007019,"CHANG, KYUNG HWAN ET AL",RESTAURANT (31-60) SEATS HIGH RISK,1635,HEADLINES,ACTIVE,PR0033024,"['Diners', 'Breakfast & Brunch', 'Sandwiches']",False,34.0602346,-118.4461972,$,3.5,242,4NNPmINhJ5D8S40Uj0vLgg
288,DAHHWAM7T,01/05/2016 12:00:00 AM,CORAL TREE EXPRESS,94,A,1,ROUTINE INSPECTION,EE0000375,10250 STA MON BLVD STE FC12,LOS ANGELES,FA0016529,CA,90067,OW0009149,CTC EXPRESS CC LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,CORAL TREE EXPRESS,INACTIVE,PR0036003,"['Coffee & Tea', 'Salad', 'Breakfast & Brunch']",True,34.058606,-118.419047,$$,3.0,127,3IYwkoPkwF7dSQnT7drHHA
289,DAUXCEEUK,01/05/2016 12:00:00 AM,R-RANCH MARKET,90,A,1,ROUTINE INSPECTION,EE0000176,5212 W ADAMS BLVD,LOS ANGELES,FA0069864,CA,90016,OW0014531,HAFSA CORPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,R-RANCH MARKET BAKERY,ACTIVE,PR0017022,['Grocery'],False,34.03194,-118.35602,$,2.5,23,CHWBn5cnB78GlYMHcmv8CA
290,DA13CUH1O,01/05/2016 12:00:00 AM,HACIENDA DEL REY,96,A,1,ROUTINE INSPECTION,EE0000955,8347 LINCOLN BLVD,LOS ANGELES,FA0027262,CA,90045,OW0018072,JUBILEE TRADING INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,HACIENDA DEL REY,ACTIVE,PR0020919,['Mexican'],False,33.96148,-118.42109,$$,3.5,302,AVppV_P8HSE6kquiWI_hbw
291,DASBHCJUL,01/05/2016 12:00:00 AM,SIB SONG THAI RESTAURANT,92,A,1,ROUTINE INSPECTION,EE0000923,2202 W SUNSET BLVD,LOS ANGELES,FA0070463,CA,90026,OW0038491,"WATAYAKUL, MATIK",RESTAURANT (31-60) SEATS HIGH RISK,1635,SIB SONG THAI RESTAURANT,INACTIVE,PR0045141,"['Thai', 'Salad', 'Soup']",True,34.07788,-118.26645,$$,3.5,146,bsIEHosxtRk912IWrwWJbQ
292,DAI090DUQ,01/05/2016 12:00:00 AM,MIXT GREENS,97,A,1,ROUTINE INSPECTION,EE0000721,350 S GRAND AVE STE D-6,LOS ANGELES,FA0041017,CA,90071,OW0026751,"OM ASSET MANAGEMENT, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,MIXT GREENS,ACTIVE,PR0008286,"['American (New)', 'Vegetarian', 'Salad']",False,34.05166,-118.25138,$$,3.5,100,8mIedYykl1aBPhaiFaNgcw
293,DAK2GD7C7,01/05/2016 12:00:00 AM,PIZZA KING,94,A,1,ROUTINE INSPECTION,EE0000725,441 E EL SEGUNDO BLVD,LOS ANGELES,FA0044249,CA,90061,OW0036029,TM FLACH ENTERPRISES INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA KING,ACTIVE,PR0008568,"['Pizza', 'Chicken Wings']",False,33.9165549,-118.2657999,$$,3.5,46,RGdGUZIIY6jh06a8I9MFaw
294,DAKDPECWZ,01/05/2016 12:00:00 AM,OCEAN SEAFOOD,90,A,1,ROUTINE INSPECTION,EE0000360,750 N HILL ST STE #A,LOS ANGELES,FA0026855,CA,90012,OW0026528,OCEAN SEAFOOD GROUP INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,OCEAN SEAFOOD 3410,INACTIVE,PR0005317,"['Dim Sum', 'Seafood', 'Venues & Event Spaces']",False,34.0617370605469,-118.239402770996,$$,3.0,1006,kAa-lh23z7_-nCMny2-I4Q
295,DANQHBNAE,01/05/2016 12:00:00 AM,MAD MEN DELI,91,A,1,ROUTINE INSPECTION,EE0001048,5301 VENICE BLVD,LOS ANGELES,FA0138624,CA,90019,OW0101958,"CLARKE, SHALINA",RESTAURANT (0-30) SEATS HIGH RISK,1632,MAD MEN DELI-RESTAURANT,ACTIVE,PR0122969,"['Sandwiches', 'Delis', 'Breakfast & Brunch']",True,34.0447506,-118.3552925,$$,3.0,165,jviB1XeDkEF-mohxUTICWw
