,index,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
100,559,DADKMFZWI,05/04/2016 12:00:00 AM,OHANA POKE-SORPRESATTA,92,A,1,ROUTINE INSPECTION,EE0000904,2852 W SUNSET BLVD,LOS ANGELES,FA0005787,CA,90026,OW0004778,BLACK HOGG INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,OHANA POKE-SORPRESATTA,ACTIVE,PR0021719,"['Hawaiian', 'Seafood']",False,34.08254,-118.273196,$$,4.0,164,dOyEWOtr3h7kkyMQwWwDFA
101,561,DANOWMDBE,05/04/2016 12:00:00 AM,SOUPLANTATION # 124,94,A,1,ROUTINE INSPECTION,EE0000955,6081 CENTER DR # 102,LOS ANGELES,FA0033786,CA,90045,OW0012891,GARDEN FRESH CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,SOUPLANTATION,INACTIVE,PR0034834,"['Buffets', 'Vegetarian', 'Salad']",True,33.9785753854146,-118.393044682383,$$,3.5,245,mBL8iENa3F3W8wdGjpLOxA
102,562,DABCAACXZ,05/04/2016 12:00:00 AM,BAJA BUDS,95,A,1,ROUTINE INSPECTION,EE0000727,11819 WILSHIRE BLVD STE 102,LOS ANGELES,FA0007974,CA,90025,OW0024321,"MEXICAN VENTURES, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,BAJA BUDS,ACTIVE,PR0019126,['Mexican'],False,34.0481,-118.46312,$,3.5,96,UnmVn92kZhsvba2390mwzA
103,564,DAZCTJKEZ,05/04/2016 12:00:00 AM,ONE CAFE,85,B,1,ROUTINE INSPECTION,EE0000531,3250 WILSHIRE BLVD STE #101A,LOS ANGELES,FA0027052,CA,90010,OW0039477,YAMMI CORPORATION,RESTAURANT (0-30) SEATS HIGH RISK,1632,ONE CAFE,ACTIVE,PR0016130,"['American (New)', 'Coffee & Tea']",False,34.0610771179199,-118.293251037598,$,2.0,34,16kFoA7--IrRfFWroJWlNw
104,565,DA7YIFRXG,05/04/2016 12:00:00 AM,HAWAIIAN BBQ HOUSE,84,B,1,ROUTINE INSPECTION,EE0000699,3552 W 3RD ST,LOS ANGELES,FA0177790,CA,90020,OW0183687,LA HAWAIIAN BBQ & CHINESE FOOD,RESTAURANT (0-30) SEATS HIGH RISK,1632,HAWAIIAN BBQ HOUSE,ACTIVE,PR0170854,"['Hawaiian', 'Barbeque']",False,34.0689051,-118.2933679,$,3.0,55,CxiXifRbp3YwYxacuhhYqA
105,566,DAWKSZ4HU,05/04/2016 12:00:00 AM,GRUB,91,A,1,ROUTINE INSPECTION,EE0000822,911 SEWARD ST,LOS ANGELES,FA0063036,CA,90038,OW0010117,"DISH-FUNCTIONAL, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,GRUB,ACTIVE,PR0005019,"['American (New)', 'Breakfast & Brunch', 'Sandwiches']",False,34.087631,-118.333356,$$,4.0,1774,hwzXnZuNa6yo32swVVhtaw
106,567,DA42SP0OM,05/04/2016 12:00:00 AM,GOLDEN BIRD,91,A,1,ROUTINE INSPECTION,EE0000176,2847 S CRENSHAW BLVD,LOS ANGELES,FA0025318,CA,90016,OW0028355,PETIT ERROL,RESTAURANT (0-30) SEATS MODERATE RISK,1631,GOLDEN BIRD,ACTIVE,PR0022234,"['American (Traditional)', 'Soul Food']",False,34.029617,-118.335567,$,4.0,47,zh3w0kxCLj_LtuhlUgwkfw
107,568,DAXGPUCKQ,05/04/2016 12:00:00 AM,FROSTALICIOUS,91,A,1,ROUTINE INSPECTION,EE0000911,10967 WEYBURN AVE,LOS ANGELES,FA0222220,CA,90024,OW0227113,FROSTALICIOUS LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,FROSTALICIOUS,INACTIVE,PR0177339,['Shaved Ice'],False,34.0622013,-118.4478673,$,4.5,108,MdF7kZcUUieN2M10eesEiw
108,569,DA0564840,05/04/2016 12:00:00 AM,THE FLAME BROILER,97,A,1,ROUTINE INSPECTION,EE0000836,5383 W CENTINELA AVE,LOS ANGELES,FA0163851,CA,90045,OW0127394,"ZMJ, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,THE FLAME BROILER,ACTIVE,PR0152084,"['Korean', 'Asian Fusion', 'Fast Food']",False,33.9780315555278,-118.373532468648,$,3.0,42,GSx-ZXooipk6ypCvIWoPgQ
109,570,DAZAVLP1Y,05/04/2016 12:00:00 AM,SUSHI WAKANA,86,B,1,ROUTINE INSPECTION,EE0000721,404 S FIGUEROA ST #404,LOS ANGELES,FA0137619,CA,90071,OW0100745,"PARK, SUNG H. ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,SUSHI WAKANA,ACTIVE,PR0121736,"['Japanese', 'Sushi Bars']",False,34.05256,-118.25601,$$,2.5,15,zFR_UHWftwtPJdnEALw_aQ
110,571,DAYX8TF49,05/04/2016 12:00:00 AM,EL TARASCO,90,A,1,ROUTINE INSPECTION,EE0000733,8620 S SEPULVEDA BLVD,LOS ANGELES,FA0021491,CA,90045,OW0027421,"PALOMO, MOISES A",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL TARASCO,ACTIVE,PR0007332,['Mexican'],False,33.9591064453125,-118.39575958252,$,3.5,331,XC8jbjBln9rSUIiAF55MGg
111,572,DATJVQJNW,05/04/2016 12:00:00 AM,LITTLE CHINA RESTAURANT,94,A,1,ROUTINE INSPECTION,EE0000581,3535 W CAHUENGA BLVD STE 107,LOS ANGELES,FA0177656,CA,90068,OW0183567,ZHEN GANG YUAN,RESTAURANT (0-30) SEATS HIGH RISK,1632,LITTLE CHINA RESTAURANT,ACTIVE,PR0170694,['Chinese'],False,34.133145,-118.357221,$,3.5,183,0a0vxEXkuNRM6fdKm9Wr3g
112,573,DA44NXY19,05/04/2016 12:00:00 AM,ALADIN SWEETS & MARKET,93,A,1,ROUTINE INSPECTION,EE0001003,139 S VERMONT AVE,LOS ANGELES,FA0005453,CA,90004,OW0017113,"ISLAM, SERAJUL",RESTAURANT (31-60) SEATS HIGH RISK,1635,ALADIN SWEETS & MARKET,ACTIVE,PR0008287,"['Indian', 'Bangladeshi', 'International Grocery']",False,34.07156,-118.29206,$,3.5,157,QYcA3cmzUEfjDjgojwWhdw
113,574,DAKOOBVGN,05/04/2016 12:00:00 AM,CHURCH'S FRIED CHICKEN #779,91,A,1,ROUTINE INSPECTION,EE0001073,1030 E MANCHESTER AVE,LOS ANGELES,FA0015186,CA,90001,OW0004505,"BEST AMERICAN HOSPITALITY, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,CHURCH'S FRIED CHICKEN #779,ACTIVE,PR0042889,"['Chicken Wings', 'Fast Food']",False,33.95996,-118.25675,$,2.0,11,pyllQKrYx4vjx5f2zbZdYw
114,575,DAD4IPVXM,05/04/2016 12:00:00 AM,ZIP SUSHI & IZAKAYA,90,A,1,ROUTINE INSPECTION,EE0001058,744 E 3RD ST,LOS ANGELES,FA0175339,CA,90013,OW0181902,AYJ INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,ZIP SUSHI & IZAKAYA,INACTIVE,PR0168480,"['Asian Fusion', 'Japanese', 'Sushi Bars']",True,34.045639,-118.236556,$$,3.5,267,6uVDZaxxUlH-uW3cWXFayw
115,577,DAMDZGPDO,05/04/2016 12:00:00 AM,THE PALACE,90,A,1,ROUTINE INSPECTION,EE0000846,2112 N HILLHURST AVE,LOS ANGELES,FA0052197,CA,90027,OW0039389,XIN DYNASTY INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,THE PALACE,INACTIVE,PR0034115,['Chinese'],True,34.11029,-118.28719,$$,3.5,499,KhGnNCjeyI0BuxHwDJ4Uzg
116,578,DARACZ8NC,05/04/2016 12:00:00 AM,LEELIN BAKERY AND CAFE (LOS ANGELES),91,A,1,ROUTINE INSPECTION,EE0001003,207 S VERMONT AVE,LOS ANGELES,FA0164549,CA,90004,OW0127886,"LEELIN ENTERPRISES, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LEELIN BAKERY AND CAFE (LOS ANGELES),ACTIVE,PR0152831,"['Filipino', 'Bakeries', 'Cafes']",False,34.0702238,-118.2921127,$,4.0,82,uTsMwgI1cQQZwOTSzFCiBA
117,579,DAVY91DID,05/04/2016 12:00:00 AM,IBARRA'S BAKERY,90,A,1,ROUTINE INSPECTION,EE0001073,8215 1/2 S BROADWAY AVE,LOS ANGELES,FA0017847,CA,90003,OW0006475,CASTELLANOS AURELIO G,RESTAURANT (0-30) SEATS MODERATE RISK,1631,IBARRA'S BAKERY,ACTIVE,PR0020761,['Bakeries'],False,33.964583,-118.278501,$,4.5,9,Z1hmsqlhZjokSkoSrk0FlQ
118,580,DAMHYTN1F,05/04/2016 12:00:00 AM,BURGER KING #6941,92,A,1,ROUTINE INSPECTION,EE0000733,9601 AIRPORT BLVD,LOS ANGELES,FA0058796,CA,90045,OW0023161,"MANGEN GROUP, INC",RESTAURANT (61-150) SEATS MODERATE RISK,1637,BURGER KING #6941,INACTIVE,PR0043660,"['Fast Food', 'Burgers']",True,33.9492445072788,-118.386614830836,$,2.0,90,HnVZ9QZY2gOkTBGSp0Z3oQ
119,581,DAH1SDUV0,05/04/2016 12:00:00 AM,CHINATOWN EXPRESS #28,90,A,1,ROUTINE INSPECTION,EE0001064,519 W MANCHESTER AVE STE 106,LOS ANGELES,FA0059722,CA,90044,OW0025961,"NGOR, CHAN",RESTAURANT (0-30) SEATS HIGH RISK,1632,CHINATOWN EXPRESS #28,ACTIVE,PR0007999,"['Chinese', 'Fast Food']",False,33.9603899,-118.28344,$,3.5,10,fssGilOou-xRH_DdVEkEiQ
120,582,DAZN62LQU,05/04/2016 12:00:00 AM,CAFE GRATITUDE,95,A,1,ROUTINE INSPECTION,EE0001058,300 S SANTA FE AVE # A,LOS ANGELES,FA0171249,CA,90013-1812,OW0178345,CAFE GRATITUDE ARTS DIST. LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,CAFE GRATITUDE ARTS DIST. LLC,ACTIVE,PR0161168,"['Vegan', 'Vegetarian', 'Breakfast & Brunch']",False,34.0456533607716,-118.232452260713,$$,4.0,751,e8Y0i00oKILndcBwm8L7PA
121,583,DAX7GUDL8,05/04/2016 12:00:00 AM,CALIFORNIA GRILL RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000893,800 N VIRGIL AVE,LOS ANGELES,FA0012397,CA,90029,OW0037406,VAZQUEZ JUAN J.,RESTAURANT (0-30) SEATS HIGH RISK,1632,CALIFORNIA GRILL RESTAURANT,ACTIVE,PR0022804,"['Mexican', 'American (New)', 'Latin American']",False,34.08592,-118.28663,$,4.5,39,cJ5bhdV-9co0BVByR34jgA
122,584,DAIN7ZFGA,05/04/2016 12:00:00 AM,GROW,97,A,1,ROUTINE INSPECTION,EE0001058,300 S SANTA FE AVE,LOS ANGELES,FA0177897,CA,90013,OW0183784,"GROW THE PRODUCE SHOP , INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,GROW - DELI,ACTIVE,PR0170974,"['Organic Stores', 'Grocery', 'Delis']",False,34.0437828535939,-118.23253573318,$$,4.0,46,7CoFilnZ-VnZJBllzLe0vA
123,585,DAREXHBA7,05/04/2016 12:00:00 AM,TAQUERIA EL CHARRITO,90,A,1,ROUTINE INSPECTION,EE0000893,811 N VIRGIL AVE,LOS ANGELES,FA0036346,CA,90029,OW0002110,ALFONSO VALDON RODRIGUEZ ETA,RESTAURANT (0-30) SEATS HIGH RISK,1632,TAQUERIA EL CHARRITO,ACTIVE,PR0029423,['Mexican'],False,34.0859823,-118.2870226,$,4.0,52,NiEGJZ6HiUyq5vRgFCWgog
124,586,DAWRCM7K2,05/03/2016 12:00:00 AM,PHO THAI TOWN,94,A,1,ROUTINE INSPECTION,EE0000857,5136 HOLLYWOOD BLVD,LOS ANGELES,FA0166170,CA,90027,OW0129354,WIRANYA LUCAS,RESTAURANT (0-30) SEATS HIGH RISK,1632,PHO THAI TOWN,ACTIVE,PR0156421,"['Vietnamese', 'Thai']",False,34.1016151,-118.3017033,$,4.0,310,tjsgOJRU4Al40LS8qTX56w
125,587,DANFAXKVX,05/03/2016 12:00:00 AM,LA VILLA CAFE,93,A,1,ROUTINE INSPECTION,EE0000697,4105 CHEVY CHASE DR,LOS ANGELES,FA0065373,CA,90039,OW0003097,ARREDONDO RICARDO,RESTAURANT (0-30) SEATS HIGH RISK,1632,LA VILLA CAFE,ACTIVE,PR0020720,"['Mexican', 'Cafes']",False,34.1335249,-118.26873,$,4.5,50,zO6oXt908Yp0XM5rxUzA5g
126,588,DAXTT5FTO,05/03/2016 12:00:00 AM,COFFEE CONNECTION,93,A,1,ROUTINE INSPECTION,EE0000144,3838 S CENTINELA AVE,LOS ANGELES,FA0016067,CA,90066,OW0035788,THE VINEYARD CHRISTIANFELLOW,RESTAURANT (31-60) SEATS LOW RISK,1633,COFFEE CONNECTION,ACTIVE,PR0036652,['Coffee & Tea'],False,34.0030848,-118.4327631,$,4.5,449,wtHwadHuKmCrJhBI6OGUew
127,589,DAYOUSXCV,05/03/2016 12:00:00 AM,YOGURTLAND CENTRAL /  SLAUSON,95,A,1,ROUTINE INSPECTION,EE0001025,5857 S CENTRAL AVE #120,LOS ANGELES,FA0202756,CA,90001,OW0208055,"SOCAL TREATS , INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,YOGURTLAND CENTRAL /  SLAUSON,ACTIVE,PR0175034,['Ice Cream & Frozen Yogurt'],False,33.9880813,-118.2574753,$,3.5,20,wHbYKhU9AmooMODNaDhO9g
128,590,DAJEQCFSO,05/03/2016 12:00:00 AM,LAS PALMITAS FRUIT #1,94,A,1,ROUTINE INSPECTION,EE0000740,3425 E 1ST ST STE 3423,LOS ANGELES,FA0065483,CA,90063,OW0020819,LAS PALMITAS FRESH FRUIT INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LAS PALMITAS,ACTIVE,PR0008821,"['Shaved Ice', 'Juice Bars & Smoothies']",False,34.03731,-118.1937,$,4.0,9,Ki0npK1dvzHBoQYwHCIBxg
129,591,DAWWKD0YL,05/03/2016 12:00:00 AM,SUGARFISH,95,A,1,ROUTINE INSPECTION,EE0000727,11640 SAN VICENTE BLVD,LOS ANGELES,FA0071309,CA,90049,OW0106302,"SUSHI NOZAWA, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,SUGARFISH,ACTIVE,PR0040139,"['Sushi Bars', 'Japanese']",False,34.05351,-118.463083,$$$,4.0,988,1HX-qdhio3A6sAPMuPDS7A
130,592,DA4P54YFB,05/03/2016 12:00:00 AM,MCDONALD'S #4431,92,A,1,ROUTINE INSPECTION,EE0001048,1845 S LA CIENEGA BLVD,LOS ANGELES,FA0024164,CA,90035,OW0023940,MCDONALD'S CORPORATION,RESTAURANT (61-150) SEATS MODERATE RISK,1637,MC DONALDS #4431,ACTIVE,PR0005451,"['Burgers', 'Fast Food', 'Coffee & Tea']",False,34.0428867,-118.3767015,$,1.5,78,kBEdbjI2xUUn8NDg561MGA
131,593,DABG9LMGH,05/03/2016 12:00:00 AM,SUNSET JUNCTION COFFEE SHOP,90,A,1,ROUTINE INSPECTION,EE0000904,3916 W SUNSET BLVD,LOS ANGELES,FA0049692,CA,90029,OW0032898,SILVE LAKE COFFEE SHOP LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,SUNSET JUNCTION COFFEE SHOP,ACTIVE,PR0034989,['Diners'],False,34.09177,-118.28014,$$,4.0,293,VOc_unXEj1Doeb8vgCccZQ
