,facility_id,latitude,longitude,rating,score,clean_zip
18823,FA0047140,34.0691449,-118.3026162,4.0,90,90020
18824,FA0177451,34.074020000000004,-118.21234,4.0,97,90031
18825,FA0166074,34.069291752731,-118.29715322274099,3.0,80,90020
18826,FA0065155,34.0415458679199,-118.283851623535,4.5,96,90006
18827,FA0137997,33.943153,-118.409223,1.5,90,90045
18828,FA0018231,34.0453721,-118.3511362,4.0,92,90019
18829,FA0060314,34.12851,-118.26365,3.0,97,90039
18830,FA0060314,34.12851,-118.26365,3.0,97,90039
18831,FA0060314,34.12851,-118.26365,3.0,97,90039
18832,FA0060314,34.12851,-118.26365,3.0,98,90039
18833,FA0060314,34.12851,-118.26365,3.0,98,90039
18834,FA0060314,34.12851,-118.26365,3.0,98,90039
18835,FA0060314,34.12851,-118.26365,3.0,97,90039
18836,FA0060314,34.12851,-118.26365,3.0,97,90039
18837,FA0060314,34.12851,-118.26365,3.0,97,90039
18838,FA0059398,33.95361,-118.29225,4.0,95,90044
18839,FA0028868,34.1059761,-118.2567733,3.5,90,90039
18840,FA0068212,34.020557000000004,-118.286092,2.0,96,90089
18841,FA0068212,34.019963,-118.286161,3.5,96,90089
18842,FA0012540,34.020557000000004,-118.286092,2.0,97,90089
18843,FA0012540,34.019963,-118.286161,3.5,97,90089
18844,FA0053086,34.020557000000004,-118.286092,2.0,97,90089
18845,FA0053086,34.019963,-118.286161,3.5,97,90089
18846,FA0039177,34.020557000000004,-118.286092,2.0,95,90089
18847,FA0039177,34.019963,-118.286161,3.5,95,90089
18848,FA0032894,34.0443222,-118.2382339,4.0,97,90013
18849,FA0137998,33.9440935,-118.4083894,3.0,95,90045
18850,FA0175744,34.05745,-118.28575,4.5,80,90005
18851,FA0137908,33.9440935,-118.4083894,5.0,91,90045
18852,FA0174388,34.1054623740804,-118.202531530688,4.0,93,90042
18853,FA0006095,34.0049599,-118.43359,4.0,94,90066
18854,FA0029140,34.0453967234337,-118.238328695297,3.5,92,90013
18855,FA0074403,34.04713,-118.44348,4.0,90,90025
18856,FA0065982,34.066320000000005,-118.20844,4.5,90,90031
18857,FA0041794,34.062180700000006,-118.348153,4.5,97,90036
18858,FA0072129,34.04899279999999,-118.19421409999998,4.0,93,90063
18859,FA0012610,34.0254451,-118.332055,5.0,91,90018
18860,FA0018660,33.95967195079611,-118.380758687854,2.5,93,90045
18861,FA0036813,34.0603609,-118.2378286,3.5,80,90012
18862,FA0163749,34.068659999999994,-118.34583,3.0,94,90036
18863,FA0060787,34.018411731278704,-118.334574401379,2.0,94,90016
18864,FA0064757,34.0212083828523,-118.35678886464198,3.0,96,90016
18865,FA0067733,34.11816,-118.19164,3.5,92,90042
18866,FA0020224,34.0633631549105,-118.297152891755,3.5,82,90020
18867,FA0136731,34.01138,-118.30941,3.5,93,90062
18868,FA0177228,34.0561999,-118.30941,4.0,90,90005
18869,FA0165460,34.043965438813,-118.421536022174,5.0,94,90064
18870,FA0160911,34.0985777,-118.3453801,4.0,90,90046
18871,FA0064452,34.1412013773296,-118.225020404893,3.0,98,90041
18872,FA0036517,34.02170770000001,-118.1627832,3.5,90,90022
18873,FA0044300,34.0102473646402,-118.30887548625499,4.0,97,90062
18874,FA0006908,34.0738399,-118.3828,4.0,93,90048
18875,FA0054971,34.066114899999995,-118.21526,3.5,90,90031
18876,FA0025290,34.14138,-118.22585,3.0,97,90041
18877,FA0018799,34.0663399,-118.21227,3.5,96,90031
18878,FA0008783,34.025949,-118.278032,2.5,95,90007
18879,FA0072610,34.1029914548462,-118.338512276621,3.5,92,90028
18880,FA0142182,34.074898380833,-118.35951933193998,3.5,90,90036
18881,FA0142182,34.074898380833,-118.35951933193998,3.5,90,90036
18882,FA0142157,34.074898380833,-118.35951933193998,3.5,97,90036
18883,FA0142157,34.074898380833,-118.35951933193998,3.5,97,90036
18884,FA0046724,34.0254555,-118.3290558,5.0,95,90018
18885,FA0021158,34.0564415632956,-118.29133851653299,4.5,94,90005
18886,FA0021158,34.0564415632956,-118.29133851653299,4.5,94,90005
18887,FA0021158,34.0564415632956,-118.29133851653299,4.5,85,90005
18888,FA0021158,34.0564415632956,-118.29133851653299,4.5,85,90005
18889,FA0043580,34.10128,-118.31841,4.0,90,90028
18890,FA0054064,34.091159999999995,-118.29035,3.5,96,90029
18891,FA0037022,34.0535301092795,-118.46533620652201,3.5,92,90049
18892,FA0165537,34.0528717041016,-118.466957092285,3.5,90,90049
18893,FA0067647,34.073553600000004,-118.3789562,4.0,93,90048
18894,FA0156798,34.1079874,-118.1963468,4.5,93,90042
18895,FA0179335,34.043943500203596,-118.30851434848302,4.0,99,90006
18896,FA0021523,33.981359999999995,-118.26985,3.5,90,90003
18897,FA0043093,34.12684,-118.26358,3.0,98,90039
18898,FA0167866,34.06612,-118.45978,4.0,96,90049
18899,FA0222503,34.051364898681605,-118.308692932129,4.5,90,90006
18900,FA0024371,34.06579,-118.29108,3.5,97,90020
18901,FA0062342,34.052978710569896,-118.467106315345,3.5,95,90049
18902,FA0049128,34.01138,-118.30941,2.5,93,90062
18903,FA0011781,34.08404,-118.35962,2.0,84,90046
18904,FA0013105,34.02625620000001,-118.2714551,4.0,96,90007
18905,FA0160249,34.0840631,-118.3091137,4.5,96,90029
18906,FA0016305,34.04521,-118.35306,4.0,96,90019
18907,FA0221862,34.0766280144453,-118.444414883852,5.0,99,90077
18908,FA0143574,33.9878859,-118.3645205,3.5,95,90056
18909,FA0071803,34.02088,-118.15804,4.0,85,90022
18910,FA0035635,34.0452948811294,-118.238458433205,4.0,94,90013
18911,FA0009821,34.060958,-118.298398,4.5,90,90010
18912,FA0136838,34.01063,-118.30201,2.5,93,90062
18913,FA0138545,34.034256899999995,-118.283559,4.0,91,90007
18914,FA0024531,34.083636299999995,-118.3093236,4.5,87,90038
18915,FA0004869,34.066796377301195,-118.26061449945,3.0,87,90026
18916,FA0055361,33.9886410465326,-118.35357416421199,3.0,85,90043
18917,FA0173819,33.9527831441748,-118.28691188246,5.0,92,90044
18918,FA0059809,34.05448,-118.35491,3.0,97,90019
18919,FA0031504,34.0983042,-118.32679679999998,3.5,90,90028
18920,FA0176870,34.06078,-118.29201,4.5,90,90010
18921,FA0044978,34.01128,-118.30941,1.5,98,90062
18922,FA0060195,34.0530679,-118.4647402,4.5,91,90049
18923,FA0166210,33.959540000000004,-118.38004,2.5,99,90045
18924,FA0023437,34.0571473989734,-118.270766672516,2.5,97,90017
18925,FA0160506,34.1412034562425,-118.22553087025899,2.0,93,90041
18926,FA0032268,34.053611978888505,-118.46494786441299,4.0,92,90049
18927,FA0007202,34.06194,-118.34573,3.5,93,90036
18928,FA0163699,34.0561485,-118.2359619,4.5,96,90012
18929,FA0006590,33.9599551,-118.2737099,4.5,95,90003
18930,FA0175143,34.0909849,-118.2956999,3.5,93,90029
18931,FA0052550,34.056181398888896,-118.23633359675101,3.5,96,90012
18932,FA0044981,33.9603937818148,-118.282398301964,2.0,95,90003
18933,FA0065044,34.0908050340862,-118.295907802886,4.0,81,90029
18934,FA0014927,34.107761,-118.272609,3.5,98,90027
18935,FA0038125,34.073164,-118.372988,4.0,91,90048
18936,FA0057124,34.09567020000001,-118.28314840000002,4.0,94,90029
18937,FA0057124,34.09567020000001,-118.28314840000002,4.0,94,90029
18938,FA0057124,34.09567020000001,-118.28314840000002,4.0,84,90029
18939,FA0057124,34.09567020000001,-118.28314840000002,4.0,84,90029
18940,FA0020093,34.057760434711,-118.44614288470301,3.5,97,90024
18941,FA0020093,34.057760434711,-118.44614288470301,3.5,97,90024
18942,FA0020093,34.057760434711,-118.44614288470301,3.5,88,90024
18943,FA0020093,34.057760434711,-118.44614288470301,3.5,88,90024
18944,FA0163579,34.0887571355407,-118.276930530164,4.0,93,90026
18945,FA0067112,34.05757,-118.29503,3.5,80,90005
18946,FA0143232,34.0617776,-118.2878432,4.0,97,90010
18947,FA0018506,34.0174,-118.33561,2.5,92,90016
18948,FA0159973,34.01183,-118.335823,2.5,96,90008
18949,FA0044241,34.0888783742815,-118.171034430758,2.0,96,90032
18950,FA0032522,34.1016849,-118.3367367,3.5,93,90028
18951,FA0160397,34.0912099,-118.30956,4.0,94,90029
18952,FA0174196,34.09771,-118.3438,3.5,96,90028
18953,FA0004798,34.05536,-118.292,3.5,90,90006
18954,FA0012483,34.02677,-118.21916,2.5,94,90023
18955,FA0160323,33.9429619249652,-118.409251514225,4.0,93,90045
18956,FA0026878,34.097313,-118.325975,4.0,91,90028
18957,FA0032120,34.0753143697871,-118.323578542976,4.0,81,90004
18958,FA0029165,33.974982000000004,-118.29981200000002,5.0,91,90044
18959,FA0160505,34.1062467715253,-118.27233000976601,3.5,90,90039
18960,FA0059508,34.040781013858,-118.425824682874,4.0,92,90064
18961,FA0177753,34.0472494,-118.2499684,4.5,95,90013
18962,FA0024295,34.0953329747381,-118.283987939358,2.5,94,90029
18963,FA0175125,34.0718889,-118.3651115,4.0,96,90048
18964,FA0151608,34.089065999999995,-118.1705108,4.0,95,90032
18965,FA0007157,34.097144,-118.327328,3.5,94,90028
18966,FA0020826,34.0472739854431,-118.297758072881,4.5,91,90006
18967,FA0058921,34.08279,-118.32404,4.0,94,90004
18968,FA0175368,34.0630836857803,-118.29748123802099,4.5,83,90020
18969,FA0178536,34.088772,-118.2765986,3.5,93,90026
18970,FA0177682,34.0907451510429,-118.338259756565,4.0,90,90038
18971,FA0073609,34.097663879394496,-118.34310913085899,3.0,92,90028
